1	5	0	0	800	0	5	-1	-4	-5
2	5	0	0	800	0	5	-1	-4	-5
3	5	0	0	800	0	5	-1	-4	-5
4	5	0	0	800	0	5	-1	-4	-5
5	5	0	0	800	0	5	-1	-4	-5
6	5	0	0	800	0	5	-1	-4	-5
7	5	0	0	800	0	5	-1	-4	-5
8	5	0	0	800	0	5	-1	-4	-5
9	5	0	0	800	0	5	-1	-4	-5
10	5	0	0	800	0	5	-1	-4	-5
11	5	0	0	800	0	5	-1	-4	-5
12	5	0	0	800	0	5	-1	-4	-5
13	5	0	0	800	0	5	-1	-4	-5
14	5	0	0	800	0	5	-1	-4	-5
15	5	0	0	800	0	5	-1	-4	-5
16	5	0	0	800	0	5	-1	-4	-5
17	5	0	0	800	0	5	-1	-4	-5
18	5	0	0	800	0	5	-1	-4	-5
19	5	0	0	800	0	5	-1	-4	-5
20	5	0	0	800	0	5	-1	-4	-5
21	5	0	0	800	0	5	-1	-4	-5
22	5	0	0	800	0	5	-1	-4	-5
23	5	0	0	800	0	5	-1	-4	-5
24	5	0	0	800	0	5	-1	-4	-5
25	5	0	0	800	0	5	-1	-4	-5
26	5	0	0	800	0	5	-1	-4	-5
27	5	0	0	800	0	5	-1	-4	-5
28	5	0	0	800	0	5	-1	-4	-5
29	5	0	0	800	0	5	-1	-4	-5
30	5	0	0	800	0	5	-1	-4	-5
31	5	0	0	800	0	5	-1	-4	-5
32	5	0	0	800	0	5	-1	-4	-5
33	5	0	0	800	0	5	-1	-4	-5
34	5	0	0	800	0	5	-1	-4	-5
35	5	0	0	800	0	5	-1	-4	-5
36	5	0	0	800	0	5	-1	-4	-5
37	5	0	0	800	0	5	-1	-4	-5
38	5	0	0	800	0	5	-1	-4	-5
39	5	0	0	800	0	5	-1	-4	-5
40	5	0	0	800	0	5	-1	-4	-5
41	5	0	0	800	0	5	-1	-4	-5
42	5	0	0	800	0	5	-1	-4	-5
43	5	0	0	800	0	5	-1	-4	-5
44	5	0	0	800	0	5	-1	-4	-5
45	5	0	0	800	0	5	-1	-4	-5
46	5	0	0	800	0	5	-1	-4	-5
47	5	0	0	800	0	5	-1	-4	-5
48	5	0	0	800	0	5	-1	-4	-5
49	5	0	0	800	0	5	-1	-4	-5
50	5	0	0	800	0	5	-1	-4	-5
51	5	0	0	800	0	5	-1	-4	-5
52	5	0	0	800	0	5	-1	-4	-5
53	5	0	0	800	0	5	-1	-4	-5
54	5	0	0	800	0	5	-1	-4	-5
55	5	0	0	800	0	5	-1	-4	-5
56	5	0	0	800	0	5	-1	-4	-5
57	5	0	0	800	0	5	-1	-4	-5
58	5	0	0	800	0	5	-1	-4	-5
59	5	0	0	800	0	5	-1	-4	-5
60	5	0	0	800	0	5	-1	-4	-5
61	5	0	0	800	0	5	-1	-4	-5
62	5	0	0	800	0	5	-1	-4	-5
63	5	0	0	800	0	5	-1	-4	-5
64	5	0	0	800	0	5	-1	-4	-5
65	5	0	0	800	0	5	-1	-4	-5
66	5	0	0	800	0	5	-1	-4	-5
67	5	0	0	800	0	5	-1	-4	-5
68	5	0	0	800	0	5	-1	-4	-5
69	5	0	0	800	0	5	-1	-4	-5
70	5	0	0	800	0	5	-1	-4	-5
71	5	0	0	800	0	5	-1	-4	-5
72	5	0	0	800	0	5	-1	-4	-5
73	5	0	0	800	0	5	-1	-4	-5
74	5	0	0	800	0	5	-1	-4	-5
75	5	0	0	800	0	5	-1	-4	-5
76	5	0	0	800	0	5	-1	-4	-5
77	5	0	0	800	0	5	-1	-4	-5
78	5	0	0	800	0	5	-1	-4	-5
79	5	0	0	800	0	5	-1	-4	-5
80	5	0	0	800	0	5	-1	-4	-5
81	5	0	0	800	0	5	-1	-4	-5
82	5	0	0	800	0	5	-1	-4	-5
83	5	0	0	800	0	5	-1	-4	-5
84	5	0	0	800	0	5	-1	-4	-5
85	5	0	0	800	0	5	-1	-4	-5
86	5	0	0	800	0	5	-1	-4	-5
87	5	0	0	800	0	5	-1	-4	-5
88	5	0	0	800	0	5	-1	-4	-5
89	5	0	0	800	0	5	-1	-4	-5
90	5	0	0	800	0	5	-1	-4	-5
91	5	0	0	800	0	5	-1	-4	-5
92	5	0	0	800	0	5	-1	-4	-5
93	5	0	0	800	0	5	-1	-4	-5
94	5	0	0	800	0	5	-1	-4	-5
95	5	0	0	800	0	5	-1	-4	-5
96	5	0	0	800	0	5	-1	-4	-5
97	5	0	0	800	0	5	-1	-4	-5
98	5	0	0	800	0	5	-1	-4	-5
99	5	0	0	800	0	5	-1	-4	-5
100	5	0	0	800	0	5	-1	-4	-5
101	5	0	0	800	0	5	-1	-4	-5
102	5	0	0	800	0	5	-1	-4	-5
103	5	0	0	800	0	5	-1	-4	-5
104	5	0	0	800	0	5	-1	-4	-5
105	5	0	0	800	0	5	-1	-4	-5
106	5	0	0	800	0	5	-1	-4	-5
107	5	0	0	800	0	5	-1	-4	-5
108	5	0	0	800	0	5	-1	-4	-5
109	5	0	0	800	0	5	-1	-4	-5
110	5	0	0	800	0	5	-1	-4	-5
111	5	0	0	800	0	5	-1	-4	-5
112	5	0	0	800	0	5	-1	-4	-5
113	5	0	0	800	0	5	-1	-4	-5
114	5	0	0	800	0	5	-1	-4	-5
115	5	0	0	800	0	5	-1	-4	-5
116	5	0	0	800	0	5	-1	-4	-5
117	5	0	0	800	0	5	-1	-4	-5
118	5	0	0	800	0	5	-1	-4	-5
119	5	0	0	800	0	5	-1	-4	-5
120	5	0	0	800	0	5	-1	-4	-5
121	5	0	0	800	0	5	-1	-4	-5
122	5	0	0	800	0	5	-1	-4	-5
123	5	0	0	800	0	5	-1	-4	-5
124	5	0	0	800	0	5	-1	-4	-5
125	5	0	0	800	0	5	-1	-4	-5
126	5	0	0	800	0	5	-1	-4	-5
127	5	0	0	800	0	5	-1	-4	-5
128	5	0	0	800	0	5	-1	-4	-5
129	5	0	0	800	0	5	-1	-4	-5
130	5	0	0	800	0	5	-1	-4	-5
131	5	0	0	800	0	5	-1	-4	-5
132	5	0	0	800	0	5	-1	-4	-5
133	5	0	0	800	0	5	-1	-4	-5
134	5	0	0	800	0	5	-1	-4	-5
135	5	0	0	800	0	5	-1	-4	-5
136	5	0	0	800	0	5	-1	-4	-5
137	5	0	0	800	0	5	-1	-4	-5
138	5	0	0	800	0	5	-1	-4	-5
139	5	0	0	800	0	5	-1	-4	-5
140	5	0	0	800	0	5	-1	-4	-5
141	5	0	0	800	0	5	-1	-4	-5
142	5	0	0	800	0	5	-1	-4	-5
143	5	0	0	800	0	5	-1	-4	-5
144	5	0	0	800	0	5	-1	-4	-5
145	5	0	0	800	0	5	-1	-4	-5
146	5	0	0	800	0	5	-1	-4	-5
147	5	0	0	800	0	5	-1	-4	-5
148	5	0	0	800	0	5	-1	-4	-5
149	5	0	0	800	0	5	-1	-4	-5
150	5	0	0	800	0	5	-1	-4	-5
151	5	0	0	800	0	5	-1	-4	-5
152	5	0	0	800	0	5	-1	-4	-5
153	5	0	0	800	0	5	-1	-4	-5
154	5	0	0	800	0	5	-1	-4	-5
155	5	0	0	800	0	5	-1	-4	-5
156	5	0	0	800	0	5	-1	-4	-5
157	5	0	0	800	0	5	-1	-4	-5
158	5	0	0	800	0	5	-1	-4	-5
159	5	0	0	800	0	5	-1	-4	-5
160	5	0	0	800	0	5	-1	-4	-5
161	5	0	0	800	0	5	-1	-4	-5
162	5	0	0	800	0	5	-1	-4	-5
163	5	0	0	800	0	5	-1	-4	-5
164	5	0	0	800	0	5	-1	-4	-5
165	5	0	0	800	0	5	-1	-4	-5
166	5	0	0	800	0	5	-1	-4	-5
167	5	0	0	800	0	5	-1	-4	-5
168	5	0	0	800	0	5	-1	-4	-5
169	5	0	0	800	0	5	-1	-4	-5
170	5	0	0	800	0	5	-1	-4	-5
171	5	0	0	800	0	5	-1	-4	-5
172	5	0	0	800	0	5	-1	-4	-5
173	5	0	0	800	0	5	-1	-4	-5
174	5	0	0	800	0	5	-1	-4	-5
175	5	0	0	800	0	5	-1	-4	-5
176	5	0	0	800	0	5	-1	-4	-5
177	5	0	0	800	0	5	-1	-4	-5
178	5	0	0	800	0	5	-1	-4	-5
179	5	0	0	800	0	5	-1	-4	-5
180	5	0	0	800	0	5	-1	-4	-5
181	5	0	0	800	0	5	-1	-4	-5
182	5	0	0	800	0	5	-1	-4	-5
183	5	0	0	800	0	5	-1	-4	-5
184	5	0	0	800	0	5	-1	-4	-5
185	5	0	0	800	0	5	-1	-4	-5
186	5	0	0	800	0	5	-1	-4	-5
187	5	0	0	800	0	5	-1	-4	-5
188	5	0	0	800	0	5	-1	-4	-5
189	5	0	0	800	0	5	-1	-4	-5
190	5	0	0	800	0	5	-1	-4	-5
191	5	0	0	800	0	5	-1	-4	-5
192	5	0	0	800	0	5	-1	-4	-5
193	5	0	0	800	0	5	-1	-4	-5
194	5	0	0	800	0	5	-1	-4	-5
195	5	0	0	800	0	5	-1	-4	-5
196	5	0	0	800	0	5	-1	-4	-5
197	5	0	0	800	0	5	-1	-4	-5
198	5	0	0	800	0	5	-1	-4	-5
199	5	0	0	800	0	5	-1	-4	-5
200	5	0	0	800	0	5	-1	-4	-5
201	5	0	0	800	0	5	-1	-4	-5
202	5	0	0	800	0	5	-1	-4	-5
203	5	0	0	800	0	5	-1	-4	-5
204	5	0	0	800	0	5	-1	-4	-5
205	5	0	0	800	0	5	-1	-4	-5
206	5	0	0	800	0	5	-1	-4	-5
207	5	0	0	800	0	5	-1	-4	-5
208	5	0	0	800	0	5	-1	-4	-5
209	5	0	0	800	0	5	-1	-4	-5
210	5	0	0	800	0	5	-1	-4	-5
211	5	0	0	800	0	5	-1	-4	-5
212	5	0	0	800	0	5	-1	-4	-5
213	5	0	0	800	0	5	-1	-4	-5
214	5	0	0	800	0	5	-1	-4	-5
215	5	0	0	800	0	5	-1	-4	-5
216	5	0	0	800	0	5	-1	-4	-5
217	5	0	0	800	0	5	-1	-4	-5
218	5	0	0	800	0	5	-1	-4	-5
219	5	0	0	800	0	5	-1	-4	-5
220	5	0	0	800	0	5	-1	-4	-5
221	5	0	0	800	0	5	-1	-4	-5
222	5	0	0	800	0	5	-1	-4	-5
223	5	0	0	800	0	5	-1	-4	-5
224	5	0	0	800	0	5	-1	-4	-5
225	5	0	0	800	0	5	-1	-4	-5
226	5	0	0	800	0	5	-1	-4	-5
227	5	0	0	800	0	5	-1	-4	-5
228	5	0	0	800	0	5	-1	-4	-5
229	5	0	0	800	0	5	-1	-4	-5
230	5	0	0	800	0	5	-1	-4	-5
231	5	0	0	800	0	5	-1	-4	-5
232	5	0	0	800	0	5	-1	-4	-5
233	5	0	0	800	0	5	-1	-4	-5
234	5	0	0	800	0	5	-1	-4	-5
235	5	0	0	800	0	5	-1	-4	-5
236	5	0	0	800	0	5	-1	-4	-5
237	5	0	0	800	0	5	-1	-4	-5
238	5	0	0	800	0	5	-1	-4	-5
239	5	0	0	800	0	5	-1	-4	-5
240	5	0	0	800	0	5	-1	-4	-5
241	5	0	0	800	0	5	-1	-4	-5
242	5	0	0	800	0	5	-1	-4	-5
243	5	0	0	800	0	5	-1	-4	-5
244	5	0	0	800	0	5	-1	-4	-5
245	5	0	0	800	0	5	-1	-4	-5
246	5	0	0	800	0	5	-1	-4	-5
247	5	0	0	800	0	5	-1	-4	-5
248	5	0	0	800	0	5	-1	-4	-5
249	5	0	0	800	0	5	-1	-4	-5
250	5	0	0	800	0	5	-1	-4	-5
251	5	0	0	800	0	5	-1	-4	-5
252	5	0	0	800	0	5	-1	-4	-5
253	5	0	0	800	0	5	-1	-4	-5
254	5	0	0	800	0	5	-1	-4	-5
255	5	0	0	800	0	5	-1	-4	-5
256	5	0	0	800	0	5	-1	-4	-5
257	5	0	0	800	0	5	-1	-4	-5
258	5	0	0	800	0	5	-1	-4	-5
259	5	0	0	800	0	5	-1	-4	-5
260	5	0	0	800	0	5	-1	-4	-5
261	5	0	0	800	0	5	-1	-4	-5
262	5	0	0	800	0	5	-1	-4	-5
263	5	0	0	800	0	5	-1	-4	-5
264	5	0	0	800	0	5	-1	-4	-5
265	5	0	0	800	0	5	-1	-4	-5
266	5	0	0	800	0	5	-1	-4	-5
267	5	0	0	800	0	5	-1	-4	-5
268	5	0	0	800	0	5	-1	-4	-5
269	5	0	0	800	0	5	-1	-4	-5
270	5	0	0	800	0	5	-1	-4	-5
271	5	0	0	800	0	5	-1	-4	-5
272	5	0	0	800	0	5	-1	-4	-5
273	5	0	0	800	0	5	-1	-4	-5
274	5	0	0	800	0	5	-1	-4	-5
275	5	0	0	800	0	5	-1	-4	-5
276	5	0	0	800	0	5	-1	-4	-5
277	5	0	0	800	0	5	-1	-4	-5
278	5	0	0	800	0	5	-1	-4	-5
279	5	0	0	800	0	5	-1	-4	-5
280	5	0	0	800	0	5	-1	-4	-5
281	5	0	0	800	0	5	-1	-4	-5
282	5	0	0	800	0	5	-1	-4	-5
283	5	0	0	800	0	5	-1	-4	-5
284	5	0	0	800	0	5	-1	-4	-5
285	5	0	0	800	0	5	-1	-4	-5
286	5	0	0	800	0	5	-1	-4	-5
287	5	0	0	800	0	5	-1	-4	-5
288	5	0	0	800	0	5	-1	-4	-5
289	5	0	0	800	0	5	-1	-4	-5
290	5	0	0	800	0	5	-1	-4	-5
291	5	0	0	800	0	5	-1	-4	-5
292	5	0	0	800	0	5	-1	-4	-5
293	5	0	0	800	0	5	-1	-4	-5
294	5	0	0	800	0	5	-1	-4	-5
295	5	0	0	800	0	5	-1	-4	-5
296	5	0	0	800	0	5	-1	-4	-5
297	5	0	0	800	0	5	-1	-4	-5
298	5	0	0	800	0	5	-1	-4	-5
299	5	0	0	800	0	5	-1	-4	-5
300	5	0	0	800	0	5	-1	-4	-5
301	5	0	0	800	0	5	-1	-4	-5
302	5	0	0	800	0	5	-1	-4	-5
303	5	0	0	800	0	5	-1	-4	-5
304	5	0	0	800	0	5	-1	-4	-5
305	5	0	0	800	0	5	-1	-4	-5
306	5	0	0	800	0	5	-1	-4	-5
307	5	0	0	800	0	5	-1	-4	-5
308	5	0	0	800	0	5	-1	-4	-5
309	5	0	0	800	0	5	-1	-4	-5
310	5	0	0	800	0	5	-1	-4	-5
311	5	0	0	800	0	5	-1	-4	-5
312	5	0	0	800	0	5	-1	-4	-5
313	5	0	0	800	0	5	-1	-4	-5
314	5	0	0	800	0	5	-1	-4	-5
315	5	0	0	800	0	5	-1	-4	-5
316	5	0	0	800	0	5	-1	-4	-5
317	5	0	0	800	0	5	-1	-4	-5
318	5	0	0	800	0	5	-1	-4	-5
319	5	0	0	800	0	5	-1	-4	-5
320	5	0	0	800	0	5	-1	-4	-5
321	5	0	0	800	0	5	-1	-4	-5
322	5	0	0	800	0	5	-1	-4	-5
323	5	0	0	800	0	5	-1	-4	-5
324	5	0	0	800	0	5	-1	-4	-5
325	5	0	0	800	0	5	-1	-4	-5
326	5	0	0	800	0	5	-1	-4	-5
327	5	0	0	800	0	5	-1	-4	-5
328	5	0	0	800	0	5	-1	-4	-5
329	5	0	0	800	0	5	-1	-4	-5
330	5	0	0	800	0	5	-1	-4	-5
331	5	0	0	800	0	5	-1	-4	-5
332	5	0	0	800	0	5	-1	-4	-5
333	5	0	0	800	0	5	-1	-4	-5
334	5	0	0	800	0	5	-1	-4	-5
335	5	0	0	800	0	5	-1	-4	-5
336	5	0	0	800	0	5	-1	-4	-5
337	5	0	0	800	0	5	-1	-4	-5
338	5	0	0	800	0	5	-1	-4	-5
339	5	0	0	800	0	5	-1	-4	-5
340	5	0	0	800	0	5	-1	-4	-5
341	5	0	0	800	0	5	-1	-4	-5
342	5	0	0	800	0	5	-1	-4	-5
343	5	0	0	800	0	5	-1	-4	-5
344	5	0	0	800	0	5	-1	-4	-5
345	5	0	0	800	0	5	-1	-4	-5
346	5	0	0	800	0	5	-1	-4	-5
347	5	0	0	800	0	5	-1	-4	-5
348	5	0	0	800	0	5	-1	-4	-5
349	5	0	0	800	0	5	-1	-4	-5
350	5	0	0	800	0	5	-1	-4	-5
351	5	0	0	800	0	5	-1	-4	-5
352	5	0	0	800	0	5	-1	-4	-5
353	5	0	0	800	0	5	-1	-4	-5
354	5	0	0	800	0	5	-1	-4	-5
355	5	0	0	800	0	5	-1	-4	-5
